ID,Name,URL,Description,Category,Section,Pricing,Featured,OpenSource,Tags,Count,Tier
80,CSS.gg,https://css.gg,Pure CSS icons with customizable styling,Art,Icons,free,FALSE,TRUE,"icons,css,customizable,minimal",700+ icons,3
81,Streamline,https://www.streamlinehq.com,Worlds largest icon library,Art,Icons,freemium,FALSE,FALSE,"icons,large,consistent,professional","100,000+ icons",3
82,Avataaars,https://getavataaars.com,Mix and match avatar illustrations,Art,Illustrations,free,FALSE,FALSE,"avatars,illustrations,customizable,generator",∞ avatars,3
83,Hugeicons,https://hugeicons.com,Comprehensive icon pack,Art,Icons,freemium,FALSE,FALSE,"icons,large,styles,comprehensive","4,000+ icons",3
84,Pattern Library,https://www.pattern.monster,Free customizable SVG patterns,Art,Patterns,free,FALSE,FALSE,"patterns,svg,generator,customizable",∞ patterns,3
85,React,https://react.dev,JavaScript library for building user interfaces,Code,Frameworks,free,TRUE,TRUE,"react,javascript,ui,library",∞ apps,1
86,Tailwind CSS,https://tailwindcss.com,Utility-first CSS framework,Code,Frameworks,free,TRUE,TRUE,"css,framework,utility,responsive",∞ projects,1
87,shadcn/ui,https://ui.shadcn.com,Re-usable components built with Radix UI and Tailwind,Code,UI Kits,free,TRUE,TRUE,"react,components,tailwind,accessible",50+ components,1
88,Untitled UI,https://www.untitledui.com,Ultimate UI kit for Figma,Code,UI Kits,free,TRUE,FALSE,"figma,ui kit,components,3000+","3,000+ components",1
89,ChatGPT,https://chat.openai.com,AI writing and coding assistant,Code,AI Tools,freemium,TRUE,FALSE,"ai,assistant,coding,writing",∞ conversations,1
90,Mockuphone,https://mockuphone.com,Device mockups in browser,Code,Mockups,free,TRUE,FALSE,"mockups,devices,browser,quick",100+ devices,1
91,Magician,https://magician.design,AI design tool for Figma,Code,AI Tools,freemium,FALSE,FALSE,"ai,figma,plugin,magic",∞ designs,2
92,CSS Gradient,https://cssgradient.io,CSS gradient generator with code export,Code,Tools,free,FALSE,FALSE,"css,gradients,code,generator",∞ gradients,2
93,DesignKit,https://designkit.io,Design systems from top companies,Code,UI Kits,free,FALSE,FALSE,"design systems,references,companies,inspiration",100+ systems,2
94,Smartmockups,https://smartmockups.com,Product mockup creator,Code,Mockups,freemium,FALSE,FALSE,"mockups,product,online,templates","5,000+ templates",2
95,DALL·E 3,https://openai.com/dall-e-3,Text-to-image AI generator,Code,AI Tools,freemium,FALSE,FALSE,"ai,image generation,dalle,openai",∞ images,2
96,Uizard,https://uizard.io,Transform wireframes with AI,Code,AI Tools,freemium,FALSE,FALSE,"ai,wireframes,prototyping,automation",∞ projects,2
97,Anima,https://www.animaapp.com,Design to code conversion,Code,Tools,freemium,FALSE,FALSE,"figma,code,export,react",∞ exports,2
98,Framework,https://framework.design,iOS UI kit for Figma,Code,UI Kits,free,FALSE,FALSE,"ios,figma,ui kit,apple","1,000+ components",3
99,Mockup World,https://www.mockupworld.co,Largest free mockups collection,Code,Mockups,free,FALSE,FALSE,"mockups,free,collection,large","10,000+ mockups",3
100,Diagram,https://diagram.com,AI-powered design for Figma,Code,AI Tools,freemium,FALSE,FALSE,"ai,figma,automation,design",∞ designs,3
